"column_name","data_type","is_nullable","column_default","insert_requirement"
"id","bigint","NO","nextval('cpq_configuration_references_id_seq'::regclass)","AUTO IF OMITTED"
"configuration_reference","text","NO",,"REQUIRED ON INSERT"
"canonical_header_id","text","NO","'Simulator'::text","AUTO IF OMITTED"
"canonical_detail_id","text","NO",,"REQUIRED ON INSERT"
"ruleset","text","NO",,"REQUIRED ON INSERT"
"namespace","text","NO",,"REQUIRED ON INSERT"
"product_description","text","YES",,"OPTIONAL"
"account_code","text","YES",,"OPTIONAL"
"country_code","text","YES",,"OPTIONAL"
"source_working_detail_id","text","YES",,"OPTIONAL"
"source_session_id","text","YES",,"OPTIONAL"
"json_snapshot","jsonb","NO","'{}'::jsonb","AUTO IF OMITTED"
"is_active","boolean","NO","true","AUTO IF OMITTED"
"created_at","timestamp with time zone","NO","now()","AUTO IF OMITTED"
"updated_at","timestamp with time zone","NO","now()","AUTO IF OMITTED"
"header_id","text","YES",,"OPTIONAL"
"finalized_detail_id","text","YES",,"OPTIONAL"
"source_header_id","text","YES",,"OPTIONAL"
"source_detail_id","text","YES",,"OPTIONAL"
"customer_id","text","YES",,"OPTIONAL"
"account_type","text","YES",,"OPTIONAL"
"company","text","YES",,"OPTIONAL"
"currency","text","YES",,"OPTIONAL"
"language","text","YES",,"OPTIONAL"
"customer_location","text","YES",,"OPTIONAL"
"application_instance","text","YES",,"OPTIONAL"
"application_name","text","YES",,"OPTIONAL"
"finalized_session_id","text","YES",,"OPTIONAL"
"final_ipn_code","text","YES",,"OPTIONAL"
"finalize_response_json","jsonb","NO","'{}'::jsonb","AUTO IF OMITTED"
