"table_schema","table_name","column_count","columns_summary"
"public","bc_item_variant_map",26,"id bigint NOT NULL, sku_code text NOT NULL, item_type text NOT NULL, bc_product_id integer, bc_variant_id integer, bc_sku_id integer, bc_status text NOT NULL, bc_product_name text, bc_variant_sku text, bc_image_url text, bc_calculated_price numeric, bc_inventory_level integer, bc_purchasing_disabled boolean, bc_is_visible boolean, bc_channels_json jsonb, bc_channel_status text NOT NULL, bc_channel_last_checked_at timestamp with time zone, bc_channel_last_error text, bc_variant_json jsonb, bc_last_checked_at timestamp with time zone, bc_last_error text, bc_error_code text, source_page text, source_system text NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","cpq_configuration_references",30,"id bigint NOT NULL, configuration_reference text NOT NULL, canonical_header_id text NOT NULL, canonical_detail_id text NOT NULL, ruleset text NOT NULL, namespace text NOT NULL, product_description text, account_code text, country_code text, source_working_detail_id text, source_session_id text, json_snapshot jsonb NOT NULL, is_active boolean NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL, header_id text, finalized_detail_id text, source_header_id text, source_detail_id text, customer_id text, account_type text, company text, currency text, language text, customer_location text, application_instance text, application_name text, finalized_session_id text, final_ipn_code text, finalize_response_json jsonb NOT NULL"
"public","cpq_country_mappings",7,"id bigint NOT NULL, region text NOT NULL, sub_region text NOT NULL, country_code character NOT NULL, is_active boolean NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","cpq_image_management",13,"id bigint NOT NULL, feature_label text NOT NULL, option_label text NOT NULL, option_value text NOT NULL, picture_link_1 text, picture_link_2 text, picture_link_3 text, picture_link_4 text, is_active boolean NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL, ignore_during_configure boolean NOT NULL, feature_layer_order integer NOT NULL"
"public","cpq_sampler_result",18,"id bigint NOT NULL, ipn_code text, ruleset text NOT NULL, account_code text NOT NULL, customer_id text, currency text, language text, country_code text, namespace text, header_id text, detail_id text, session_id text, json_result jsonb NOT NULL, processed_for_image_sync boolean NOT NULL, processed_for_image_sync_at timestamp with time zone, created_at timestamp with time zone NOT NULL, active boolean NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","cpq_setup_account_context",11,"id bigint NOT NULL, account_code text NOT NULL, customer_id text NOT NULL, currency text NOT NULL, language text NOT NULL, country_code character NOT NULL, is_active boolean NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL, region text, sub_region text"
"public","cpq_setup_ruleset",10,"id bigint NOT NULL, cpq_ruleset text NOT NULL, description text, bike_type text, namespace text NOT NULL, header_id text NOT NULL, is_active boolean NOT NULL, sort_order integer NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","qpart_compatibility_reference_values",8,"id bigint NOT NULL, bike_type text NOT NULL, feature_label text NOT NULL, option_value text NOT NULL, option_label text, is_active boolean NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","qpart_country_allocation",6,"id bigint NOT NULL, part_id bigint NOT NULL, country_code character NOT NULL, active boolean NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","qpart_hierarchy_nodes",8,"id bigint NOT NULL, level smallint NOT NULL, code text NOT NULL, label_en text NOT NULL, parent_id bigint, is_active boolean NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","qpart_metadata_definitions",12,"id bigint NOT NULL, key text NOT NULL, label_en text NOT NULL, field_type text NOT NULL, is_translatable boolean NOT NULL, is_required boolean NOT NULL, is_active boolean NOT NULL, display_order integer NOT NULL, validation_json jsonb NOT NULL, options_json jsonb NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","qpart_part_bike_type_compatibility",5,"id bigint NOT NULL, part_id bigint NOT NULL, bike_type text NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","qpart_part_channel_assignment",5,"id bigint NOT NULL, part_id bigint NOT NULL, channel text NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","qpart_part_compatibility_rules",10,"id bigint NOT NULL, part_id bigint NOT NULL, bike_type text NOT NULL, feature_label text NOT NULL, option_value text NOT NULL, option_label text, source text NOT NULL, is_active boolean NOT NULL, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","qpart_part_metadata_values",11,"id bigint NOT NULL, part_id bigint NOT NULL, metadata_definition_id bigint NOT NULL, locale text NOT NULL, value_text text, value_number numeric, value_boolean boolean, value_date date, value_json jsonb, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","qpart_part_translations",7,"id bigint NOT NULL, part_id bigint NOT NULL, locale text NOT NULL, name text, description text, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
"public","qpart_parts",10,"id bigint NOT NULL, part_number text NOT NULL, status text NOT NULL, default_name text NOT NULL, default_description text, hierarchy_node_id bigint, created_by text, updated_by text, created_at timestamp with time zone NOT NULL, updated_at timestamp with time zone NOT NULL"
