"table_schema","table_name","object_type","table_comment"
"public","app_allocation_audit_log","table",
"public","app_permission_pages","table",
"public","app_sessions","table",
"public","app_user_page_permissions","table",
"public","app_users","table",
"public","bc_item_variant_map","table",
"public","cpq_configuration_references","table",
"public","cpq_country_mappings","table",
"public","cpq_image_management","table",
"public","cpq_sampler_result","table",
"public","cpq_setup_account_context","table",
"public","cpq_setup_ruleset","table",
"public","qpart_compatibility_reference_values","table",
"public","qpart_country_allocation","table",
"public","qpart_hierarchy_nodes","table",
"public","qpart_metadata_definitions","table",
"public","qpart_part_bike_type_compatibility","table",
"public","qpart_part_channel_assignment","table",
"public","qpart_part_compatibility_rules","table",
"public","qpart_part_images","table",
"public","qpart_part_metadata_values","table",
"public","qpart_part_translations","table",
"public","qpart_parts","table",
