"table_schema","table_name","total_bytes","table_bytes","index_bytes","total_size","table_size","index_size"
"public","qpart_country_allocation",19316736,10027008,9256960,"18 MB","9792 kB","9040 kB"
"public","cpq_configuration_references",17809408,81920,81920,"17 MB","80 kB","80 kB"
"public","qpart_part_metadata_values",1245184,720896,483328,"1216 kB","704 kB","472 kB"
"public","bc_item_variant_map",1032192,311296,679936,"1008 kB","304 kB","664 kB"
"public","qpart_part_translations",753664,385024,327680,"736 kB","376 kB","320 kB"
"public","cpq_sampler_result",598016,57344,98304,"584 kB","56 kB","96 kB"
"public","qpart_parts",589824,303104,245760,"576 kB","296 kB","240 kB"
"public","cpq_image_management",163840,32768,98304,"160 kB","32 kB","96 kB"
"public","qpart_hierarchy_nodes",155648,32768,81920,"152 kB","32 kB","80 kB"
"public","qpart_part_images",81920,8192,65536,"80 kB","8192 bytes","64 kB"
"public","app_allocation_audit_log",65536,8192,49152,"64 kB","8192 bytes","48 kB"
"public","qpart_part_channel_assignment",65536,8192,49152,"64 kB","8192 bytes","48 kB"
"public","cpq_setup_account_context",65536,8192,49152,"64 kB","8192 bytes","48 kB"
"public","qpart_part_compatibility_rules",49152,8192,32768,"48 kB","8192 bytes","32 kB"
"public","qpart_part_bike_type_compatibility",49152,8192,32768,"48 kB","8192 bytes","32 kB"
"public","app_sessions",49152,8192,32768,"48 kB","8192 bytes","32 kB"
"public","qpart_metadata_definitions",49152,8192,32768,"48 kB","8192 bytes","32 kB"
"public","cpq_setup_ruleset",49152,8192,32768,"48 kB","8192 bytes","32 kB"
"public","app_users",49152,8192,32768,"48 kB","8192 bytes","32 kB"
"public","app_user_page_permissions",49152,8192,32768,"48 kB","8192 bytes","32 kB"
"public","app_permission_pages",49152,8192,32768,"48 kB","8192 bytes","32 kB"
"public","cpq_country_mappings",49152,8192,32768,"48 kB","8192 bytes","32 kB"
"public","qpart_compatibility_reference_values",24576,0,16384,"24 kB","0 bytes","16 kB"
