"table_schema","table_name","estimated_live_rows","estimated_dead_rows","seq_scan","seq_tup_read","idx_scan","idx_tup_fetch","rows_inserted","rows_updated","rows_deleted","scan_pattern","dead_row_warning"
"public","qpart_country_allocation",49028,1947,2076,54705168,178981,4919644,49028,100492,0,"MORE INDEX SCANS THAN SEQUENTIAL SCANS","CHECK DEAD ROWS"
"public","qpart_hierarchy_nodes",276,1,54712,14406186,6968,7037,340,0,0,"MORE SEQUENTIAL SCANS THAN INDEX SCANS","OK"
"public","qpart_parts",1753,9,7725,3910451,77643,250145,1751,28,0,"MORE INDEX SCANS THAN SEQUENTIAL SCANS","OK"
"public","qpart_part_metadata_values",7022,37,357,635048,3507,7404,7138,0,128,"MORE INDEX SCANS THAN SEQUENTIAL SCANS","OK"
"public","cpq_image_management",134,55,1401,127930,367,1132,157,137,23,"MORE SEQUENTIAL SCANS THAN INDEX SCANS","HIGH DEAD ROW RATIO"
"public","qpart_part_translations",5266,41,359,72815,3462,5474,5331,37,73,"MORE INDEX SCANS THAN SEQUENTIAL SCANS","OK"
"public","cpq_country_mappings",28,0,2090,58464,50,211,28,0,0,"MORE SEQUENTIAL SCANS THAN INDEX SCANS","OK"
"public","qpart_part_compatibility_rules",4,41,9830,39275,58,168,45,0,41,"MORE SEQUENTIAL SCANS THAN INDEX SCANS","HIGH DEAD ROW RATIO"
"public","cpq_sampler_result",111,34,404,26407,391,1534,366,202,151,"MORE SEQUENTIAL SCANS THAN INDEX SCANS","HIGH DEAD ROW RATIO"
"public","cpq_setup_account_context",6,15,2749,13292,52,189,11,10,0,"MORE SEQUENTIAL SCANS THAN INDEX SCANS","HIGH DEAD ROW RATIO"
"public","bc_item_variant_map",102,0,92,8262,102,0,102,0,0,"MORE INDEX SCANS THAN SEQUENTIAL SCANS","OK"
"public","cpq_setup_ruleset",9,0,810,7218,57,270,9,0,0,"MORE SEQUENTIAL SCANS THAN INDEX SCANS","OK"
"public","qpart_metadata_definitions",13,14,304,2312,7168,7173,13,14,0,"MORE INDEX SCANS THAN SEQUENTIAL SCANS","HIGH DEAD ROW RATIO"
"public","qpart_part_bike_type_compatibility",3,22,235,641,7691,121,25,0,22,"MORE INDEX SCANS THAN SEQUENTIAL SCANS","HIGH DEAD ROW RATIO"
"public","cpq_configuration_references",132,0,56,557,279,369,230,2,30,"MORE INDEX SCANS THAN SEQUENTIAL SCANS","OK"
"public","qpart_compatibility_reference_values",0,0,8,0,20,0,0,0,0,"MORE INDEX SCANS THAN SEQUENTIAL SCANS","OK"
"public","qpart_part_channel_assignment",6,6,3,0,161,48,12,0,6,"MORE INDEX SCANS THAN SEQUENTIAL SCANS","HIGH DEAD ROW RATIO"
